Date,County,Observed_Cases,date_column_name
2020-10-17,Abbeville,4,2020-10-17
2020-10-18,Abbeville,4,2020-10-18
2020-10-19,Abbeville,2,2020-10-19
2020-10-20,Abbeville,3,2020-10-20
2020-10-21,Abbeville,2,2020-10-21
2020-10-22,Abbeville,5,2020-10-22
2020-10-23,Abbeville,10,2020-10-23
2020-10-24,Abbeville,6,2020-10-24
2020-10-25,Abbeville,8,2020-10-25
2020-10-26,Abbeville,7,2020-10-26
2020-10-27,Abbeville,6,2020-10-27
2020-10-28,Abbeville,8,2020-10-28
2020-10-29,Abbeville,11,2020-10-29
2020-10-30,Abbeville,10,2020-10-30
2020-10-31,Abbeville,12,2020-10-31
2020-11-01,Abbeville,4,2020-11-01
2020-11-02,Abbeville,1,2020-11-02
2020-11-03,Abbeville,2,2020-11-03
2020-11-04,Abbeville,4,2020-11-04
2020-11-05,Abbeville,8,2020-11-05
2020-11-06,Abbeville,6,2020-11-06
2020-11-07,Abbeville,10,2020-11-07
2020-11-08,Abbeville,3,2020-11-08
2020-11-09,Abbeville,1,2020-11-09
2020-11-10,Abbeville,4,2020-11-10
2020-11-11,Abbeville,5,2020-11-11
2020-11-12,Abbeville,6,2020-11-12
2020-11-13,Abbeville,9,2020-11-13
2020-11-14,Abbeville,0,2020-11-14
2020-11-15,Abbeville,2,2020-11-15
2020-11-16,Abbeville,0,2020-11-16
2020-11-17,Abbeville,0,2020-11-17
2020-11-18,Abbeville,0,2020-11-18
2020-11-19,Abbeville,21,2020-11-19
2020-11-20,Abbeville,0,2020-11-20
2020-11-21,Abbeville,0,2020-11-21
2020-11-22,Abbeville,0,2020-11-22
2020-11-23,Abbeville,27,2020-11-23
2020-11-24,Abbeville,20,2020-11-24
2020-11-25,Abbeville,0,2020-11-25
2020-11-26,Abbeville,0,2020-11-26
2020-11-27,Abbeville,26,2020-11-27
2020-11-28,Abbeville,1,2020-11-28
2020-11-29,Abbeville,0,2020-11-29
2020-11-30,Abbeville,6,2020-11-30
2020-12-01,Abbeville,5,2020-12-01
2020-12-02,Abbeville,6,2020-12-02
2020-12-03,Abbeville,11,2020-12-03
2020-12-04,Abbeville,13,2020-12-04
2020-12-05,Abbeville,30,2020-12-05
2020-12-06,Abbeville,4,2020-12-06
2020-12-07,Abbeville,16,2020-12-07
2020-12-08,Abbeville,3,2020-12-08
2020-12-09,Abbeville,3,2020-12-09
2020-12-10,Abbeville,8,2020-12-10
2020-12-11,Abbeville,13,2020-12-11
2020-12-12,Abbeville,23,2020-12-12
2020-12-13,Abbeville,6,2020-12-13
2020-12-14,Abbeville,9,2020-12-14
2020-12-15,Abbeville,8,2020-12-15
2020-12-16,Abbeville,6,2020-12-16
2020-12-17,Abbeville,3,2020-12-17
2020-12-18,Abbeville,12,2020-12-18
2020-12-19,Abbeville,17,2020-12-19
2020-12-20,Abbeville,20,2020-12-20
2020-12-21,Abbeville,6,2020-12-21
2020-12-22,Abbeville,6,2020-12-22
2020-12-23,Abbeville,9,2020-12-23
2020-12-24,Abbeville,12,2020-12-24
2020-12-25,Abbeville,0,2020-12-25
2020-12-26,Abbeville,12,2020-12-26
2020-12-27,Abbeville,22,2020-12-27
2020-12-28,Abbeville,4,2020-12-28
2020-12-29,Abbeville,10,2020-12-29
2020-12-30,Abbeville,1,2020-12-30
2020-12-31,Abbeville,10,2020-12-31
2021-01-01,Abbeville,0,2021-01-01
2021-01-02,Abbeville,7,2021-01-02
2021-01-03,Abbeville,12,2021-01-03
2021-01-04,Abbeville,7,2021-01-04
2021-01-05,Abbeville,4,2021-01-05
2021-01-06,Abbeville,11,2021-01-06
2021-01-07,Abbeville,12,2021-01-07
2021-01-08,Abbeville,19,2021-01-08
2021-01-09,Abbeville,13,2021-01-09
2021-01-10,Abbeville,23,2021-01-10
2021-01-11,Abbeville,6,2021-01-11
2021-01-12,Abbeville,2,2021-01-12
2021-01-13,Abbeville,23,2021-01-13
2021-01-14,Abbeville,29,2021-01-14
2021-01-15,Abbeville,13,2021-01-15
2021-01-16,Abbeville,16,2021-01-16
2021-01-17,Abbeville,23,2021-01-17
2021-01-18,Abbeville,3,2021-01-18
2021-01-19,Abbeville,12,2021-01-19
2021-01-20,Abbeville,71,2021-01-20
2021-01-21,Abbeville,39,2021-01-21
2021-01-22,Abbeville,15,2021-01-22
2021-01-23,Abbeville,47,2021-01-23
2021-01-24,Abbeville,25,2021-01-24
2021-01-25,Abbeville,11,2021-01-25
2021-01-26,Abbeville,15,2021-01-26
2021-01-27,Abbeville,9,2021-01-27
2021-01-28,Abbeville,17,2021-01-28
2021-01-29,Abbeville,23,2021-01-29
2021-01-30,Abbeville,48,2021-01-30
2021-01-31,Abbeville,13,2021-01-31
2021-02-01,Abbeville,5,2021-02-01
2021-02-02,Abbeville,8,2021-02-02
2021-02-03,Abbeville,17,2021-02-03
2021-02-04,Abbeville,14,2021-02-04
2021-02-05,Abbeville,61,2021-02-05
2021-02-06,Abbeville,24,2021-02-06
2021-02-07,Abbeville,17,2021-02-07
2021-02-08,Abbeville,13,2021-02-08
2021-02-09,Abbeville,6,2021-02-09
2021-02-10,Abbeville,16,2021-02-10
2021-02-11,Abbeville,21,2021-02-11
2021-02-12,Abbeville,22,2021-02-12
2021-02-13,Abbeville,30,2021-02-13
2021-02-14,Abbeville,20,2021-02-14
2021-02-15,Abbeville,2,2021-02-15
2021-02-16,Abbeville,5,2021-02-16
2021-02-17,Abbeville,6,2021-02-17
2021-02-18,Abbeville,16,2021-02-18
2021-02-19,Abbeville,13,2021-02-19
2021-02-20,Abbeville,15,2021-02-20
2021-02-21,Abbeville,10,2021-02-21
2021-02-22,Abbeville,7,2021-02-22
2021-02-23,Abbeville,1,2021-02-23
2021-02-24,Abbeville,8,2021-02-24
